segmento,nivel,n_c,n_t,base,lift_pct,ci_lo,ci_hi,p,log10_p,t_stat
cesta,1 item,42626,42790,126.813,6.111,4.313,7.91,0.0,-10.56,6.66
cesta,2+ items,4654,4633,197.696,3.312,-1.005,7.628,0.133,-0.88,1.5
payment_type,boleto,9354,9543,117.952,4.799,0.955,8.642,0.014,-1.84,2.45
payment_type,credit_card,35745,35717,139.856,6.027,4.127,7.927,0.0,-9.3,6.22
payment_type,debit_card,736,732,112.143,7.957,-6.781,22.695,0.29,-0.54,1.06
payment_type,voucher,1445,1431,97.273,0.313,-9.009,9.634,0.948,-0.02,0.07
macro_region,Centro-Oeste,2741,2791,144.773,6.171,-0.838,13.18,0.084,-1.07,1.73
macro_region,Nordeste,4472,4549,157.277,9.635,4.153,15.117,0.001,-3.24,3.45
macro_region,Norte,909,863,187.637,-4.858,-16.58,6.863,0.416,-0.38,-0.81
macro_region,Sudeste,32328,32546,127.725,5.573,3.573,7.573,0.0,-7.33,5.46
macro_region,Sur,6830,6674,135.544,4.81,0.417,9.202,0.032,-1.5,2.15
trimestre,2017Q1,2535,2479,137.797,4.827,-2.638,12.292,0.205,-0.69,1.27
trimestre,2017Q2,4520,4449,133.452,6.669,1.028,12.31,0.021,-1.69,2.32
trimestre,2017Q3,5996,6033,130.963,7.83,3.049,12.611,0.001,-2.88,3.21
trimestre,2017Q4,8382,8636,135.264,3.595,-0.246,7.436,0.067,-1.18,1.83
trimestre,2018Q1,10164,10076,130.55,4.831,1.351,8.312,0.007,-2.19,2.72
trimestre,2018Q2,9581,9626,137.972,6.706,2.956,10.455,0.0,-3.34,3.51
trimestre,2018Q3,6102,6124,131.958,5.743,1.008,10.479,0.017,-1.76,2.38
cat_grupo,bed_bath_table,4383,4467,113.138,0.138,-3.618,3.893,0.943,-0.03,0.07
cat_grupo,computers_accessories,3220,3174,131.17,4.915,-1.437,11.266,0.129,-0.89,1.52
cat_grupo,furniture_decor,2973,2990,114.398,6.032,0.836,11.228,0.023,-1.64,2.28
cat_grupo,health_beauty,4241,4217,137.734,12.317,6.665,17.97,0.0,-4.71,4.27
cat_grupo,housewares,2843,2746,105.861,7.434,0.795,14.072,0.028,-1.55,2.2
cat_grupo,resto,25990,26150,143.199,5.467,3.125,7.809,0.0,-5.32,4.58
cat_grupo,sports_leisure,3630,3679,126.833,3.854,-1.685,9.393,0.173,-0.76,1.36
